MEDV,RM,CRIM
5.0,5.453,38.3518
5.0,5.683,67.9208
5.6,5.987,25.0461
6.3,5.852,9.91655
7.0,4.519,45.7461
7.0,5.414,0.18337
7.2,6.343,14.2362
7.2,5.277,16.8118
7.2,6.434,18.0846
7.4,5.0,22.5971
7.5,6.782,10.8342
8.1,5.093,0.20746
8.3,5.349,24.8017
8.3,5.896,15.8603
8.4,5.935,13.6781
8.4,6.824,11.8123
8.5,5.747,7.67202
8.5,5.531,41.5292
8.7,6.152,15.1772
8.8,5.957,73.5341
8.8,4.368,20.0849
9.5,6.38,9.33889
9.6,6.461,14.4208
9.7,5.036,11.5779
10.2,5.837,12.2472
10.2,4.88,14.3337
10.2,6.223,17.8667
10.4,5.304,25.9406
10.4,6.968,88.9762
10.5,4.652,24.3938
10.5,5.818,22.0511
10.8,5.854,12.8023
10.9,6.202,37.6619
10.9,6.545,15.8744
11.0,6.193,7.36711
11.3,5.536,9.18702
11.5,5.39,8.15174
11.7,6.208,13.9134
11.7,5.565,8.79212
11.8,6.459,10.6718
11.8,4.903,2.77974
11.9,4.138,20.7162
11.9,6.03,0.04741
12.0,5.304,15.0234
12.1,6.404,9.59571
12.3,5.52,7.99248
12.5,6.405,5.87205
12.6,6.251,9.92485
12.7,5.713,1.13081
12.7,5.976,4.66883
12.7,5.887,13.3598
12.8,5.627,9.39063
13.0,6.417,7.52601
13.1,5.701,1.15172
13.1,6.38,23.6482
13.1,5.272,2.44668
13.1,6.471,8.71675
13.2,5.95,1.38799
13.3,6.794,9.82349
13.3,5.857,0.2498
13.3,6.162,6.39312
13.4,6.749,6.71772
13.4,6.629,11.1604
13.4,5.403,3.32105
13.4,6.103,7.05042
13.5,5.936,8.20058
13.5,6.096,1.61282
13.6,5.57,1.25179
13.6,5.983,0.10574
13.8,5.427,8.05579
13.8,4.906,11.1081
13.8,6.13,2.37934
13.8,4.138,18.4982
13.8,6.193,8.64476
13.9,6.649,15.288
13.9,5.599,0.84054
14.0,6.174,0.2909
14.1,6.525,4.75237
14.1,6.833,10.0623
14.1,6.185,9.32909
14.2,6.006,7.02259
14.3,6.436,5.58107
14.3,5.637,0.88125
14.4,5.399,0.25387
14.4,5.019,1.62864
14.5,6.348,8.49213
14.5,5.813,0.98843
14.5,6.072,1.35472
14.6,4.926,2.36862
14.6,6.185,10.233
14.8,6.047,0.95577
14.9,6.728,9.51363
14.9,6.341,6.28807
14.9,6.301,7.75223
15.0,7.313,19.6091
15.0,5.757,51.1358
15.0,6.377,0.22489
15.1,5.713,6.96215
15.2,6.655,5.44114
15.2,5.454,0.15086
15.2,6.142,1.23247
15.3,5.012,1.12658
15.4,6.485,9.96654
15.4,5.597,2.73397
15.6,5.628,2.15505
15.6,5.924,0.75026
15.6,6.152,3.53501
15.6,5.757,0.97617
15.6,5.468,4.0974
15.7,5.613,0.38735
16.0,5.966,0.17171
16.1,4.973,2.63548
16.1,6.425,6.44405
16.1,6.297,5.09017
16.2,5.705,0.25356
16.2,5.693,0.25915
16.3,5.155,28.6558
16.4,6.701,4.81213
16.5,6.54,0.02498
16.5,5.631,0.21124
16.6,5.813,0.67191
16.6,6.03,0.22927
16.7,6.484,4.87141
16.7,6.411,11.0874
16.8,6.027,0.22438
16.8,5.803,4.22239
17.0,6.129,1.41385
17.1,6.406,9.72418
17.1,5.706,0.05023
17.1,6.454,0.35233
17.2,5.617,7.40389
17.2,5.898,0.06162
17.2,6.657,14.0507
17.3,5.856,0.15038
17.4,5.594,0.13554
17.4,5.875,1.20742
17.4,5.942,0.32264
17.5,5.569,0.17783
17.5,6.014,0.03113
17.5,5.99,0.7842
17.6,5.593,0.20608
17.7,6.376,3.69311
17.8,5.186,2.33099
17.8,6.212,8.98296
17.8,5.914,0.31827
17.8,7.393,8.24809
17.8,6.151,0.54452
17.9,4.628,18.811
18.0,6.431,0.32543
18.1,6.335,0.55778
18.2,5.727,0.7258
18.2,5.663,0.04301
18.2,6.096,0.63796
18.3,5.794,0.26838
18.3,5.928,0.17134
18.4,5.822,0.32982
18.4,6.495,0.77299
18.4,6.219,5.66637
18.5,6.254,0.14231
18.5,5.708,0.28392
18.5,5.895,0.03041
18.5,5.605,0.19133
18.6,5.884,0.07244
18.6,6.405,0.22876
18.7,6.092,0.22212
18.7,5.968,0.06151
18.7,5.741,0.14932
18.8,5.913,0.12329
18.8,5.879,0.09849
18.9,6.004,0.17004
18.9,5.888,0.0136
18.9,5.933,0.06417
18.9,6.009,0.11747
19.0,5.985,0.05497
19.0,5.952,3.77498
19.1,6.114,5.69175
19.1,6.003,4.42228
19.1,5.88,2.3139
19.1,5.926,15.5757
19.2,6.458,0.34006
19.2,6.021,0.15098
19.3,5.868,0.06617
19.3,5.404,0.37578
19.3,5.682,0.17142
19.3,6.137,0.21161
19.3,5.731,0.14476
19.4,5.787,0.04379
19.4,6.023,0.26169
19.4,5.709,2.14918
19.4,5.602,0.21977
19.4,6.229,0.26363
19.4,6.031,0.03466
19.5,5.851,0.13262
19.5,5.869,0.03427
19.5,5.836,0.1712
19.5,6.317,6.65492
19.6,5.404,1.49632
19.6,6.229,4.03841
19.6,5.927,0.10328
19.6,6.326,1.19294
19.6,5.965,0.85204
19.7,5.963,0.08873
19.7,5.39,0.2896
19.8,6.144,0.04544
19.8,5.782,0.24522
19.8,6.474,0.12802
19.9,5.759,3.1636
19.9,6.251,3.83684
19.9,6.167,4.34879
19.9,5.834,0.62739
20.0,5.344,0.43571
20.0,5.841,0.09744
20.0,6.081,6.80117
20.0,5.786,0.18836
20.0,6.279,0.10153
20.1,6.095,0.10612
20.1,5.983,0.11132
20.1,6.167,0.1396
20.1,5.713,13.0751
20.1,6.23,0.01965
20.2,5.456,0.80271
20.2,6.513,5.82115
20.3,5.874,0.08387
20.3,5.79,0.14103
20.3,6.004,0.07165
20.3,5.972,0.3494
20.4,5.949,0.62976
20.4,6.127,0.13117
